trace_id,case_id,step,state,evidence_count,consent_required,consent_present,correction_requested,correction_bounded,correction_authorized,expected_valid
TRACE-001,VAL-001,1,OBSERVED,2,true,true,true,true,true,true
TRACE-001,VAL-001,2,INFERRED,2,true,true,true,true,true,true
TRACE-001,VAL-001,3,FORECAST,2,true,true,true,true,true,true
TRACE-001,VAL-001,4,RECOMMENDED,2,true,true,true,true,true,true
TRACE-001,VAL-001,5,DECIDED,2,true,true,true,true,true,true
TRACE-001,VAL-001,6,EXECUTED,2,true,true,true,true,true,true
TRACE-002,VAL-002,1,OBSERVED,1,false,false,false,false,false,false
TRACE-002,VAL-002,2,FORECAST,1,false,false,false,false,false,false
TRACE-003,VAL-003,1,OBSERVED,1,true,false,false,false,false,false
TRACE-003,VAL-003,2,INFERRED,1,true,false,false,false,false,false
TRACE-003,VAL-003,3,FORECAST,1,true,false,false,false,false,false
TRACE-003,VAL-003,4,RECOMMENDED,1,true,false,false,false,false,false
TRACE-003,VAL-003,5,DECIDED,1,true,false,false,false,false,false
TRACE-003,VAL-003,6,EXECUTED,1,true,false,false,false,false,false
TRACE-004,VAL-004,1,OBSERVED,1,false,false,false,false,false,true
TRACE-005,VAL-005,1,OBSERVED,2,false,false,true,false,true,false
TRACE-005,VAL-005,2,INFERRED,2,false,false,true,false,true,false
TRACE-005,VAL-005,3,FORECAST,2,false,false,true,false,true,false
TRACE-005,VAL-005,4,RECOMMENDED,2,false,false,true,false,true,false
TRACE-006,VAL-006,1,OBSERVED,2,false,false,true,true,false,false
TRACE-006,VAL-006,2,INFERRED,2,false,false,true,true,false,false
TRACE-006,VAL-006,3,FORECAST,2,false,false,true,true,false,false
TRACE-006,VAL-006,4,RECOMMENDED,2,false,false,true,true,false,false
TRACE-007,VAL-007,1,OBSERVED,0,false,false,false,false,false,false
TRACE-007,VAL-007,2,INFERRED,0,false,false,false,false,false,false
TRACE-008,VAL-008,1,OBSERVED,3,false,false,true,true,true,true
TRACE-008,VAL-008,2,INFERRED,3,false,false,true,true,true,true
TRACE-008,VAL-008,3,FORECAST,3,false,false,true,true,true,true
TRACE-008,VAL-008,4,RECOMMENDED,3,false,false,true,true,true,true
